"","HF1","HF2","HF3","HFK1","HFK2","HFK3"
"peak640",8.49170502218295,8.69458274574959,36.0870387370706,0,0,0
"peak656",10.6146312777287,14.490971242916,27.065279052803,1.09060114876592,1.03156852934501,2.15444667519516
"peak664",19.1063362999116,0,42.5311527972618,0,0,0
"peak674",46.7043776220062,2.8981942485832,60.5746721657971,1.09060114876592,0,0
"peak687",63.6877876663721,89.8440217060791,79.9070143463707,3.27180344629775,0.412627411738005,1.43629778346344
"peak694",33.9668200887318,8.69458274574959,15.4658737444588,4.36240459506367,2.68207817629703,2.15444667519516
"peak697",12.7375575332744,17.3891654914992,15.4658737444588,0,0,0
"peak698",8.49170502218295,23.1855539886656,12.8882281203824,0,0,0
"peak703",29.7209675776403,26.0837482372488,19.3323421805736,0,1.44419594108302,0
"peak708",8.49170502218295,28.981942485832,18.0435193685353,4.36240459506367,1.85682335282102,3.5907444586586
"peak713",25.4751150665488,5.7963884971664,24.4876334287265,1.09060114876592,1.23788223521402,4.30889335039032
"peak717",61.5648614108264,43.472913728748,46.3976212333765,3.27180344629775,1.23788223521402,2.15444667519516
"peak724",8.49170502218295,0,46.3976212333765,0,0,0
"peak734",10.6146312777287,8.69458274574959,18.0435193685353,17.4496183802547,26.6144680571013,16.5174245098296
"peak736",16.9834100443659,2.8981942485832,37.3758615491089,0,0.206313705869003,1.43629778346344
"peak754",16.9834100443659,0,92.7952424667531,0,0,0
"peak756",12.7375575332744,5.7963884971664,34.7982159250324,0,0,0
"peak758",210.169699299028,81.1494389603295,166.258142752933,181.039790695142,15.4735279401752,123.521609377856
"peak776",21.2292625554574,23.1855539886656,21.90998780465,0,0,0
"peak794",25.4751150665488,0,24.4876334287265,0,0.412627411738005,0.71814889173172
"peak795",10.6146312777287,5.7963884971664,73.4629002861795,0,0,0
"peak805",31.8438938331861,23.1855539886656,37.3758615491089,7.63420804136142,15.4735279401752,12.926680051171
"peak810",12.7375575332744,2.8981942485832,46.3976212333765,0,1.23788223521402,0
"peak814",19.1063362999116,0,36.0870387370706,0,0.618941117607008,0
"peak815",16.9834100443659,31.8801367344152,57.9970265417207,0,0.206313705869003,0
"peak822",8.49170502218295,5.7963884971664,23.1988106166883,0,0.412627411738005,0
"peak827",21.2292625554574,2.8981942485832,76.040545910256,0,0,0
"peak829",23.3521888110031,2.8981942485832,33.5093931129942,0,0,0
"peak831",25.4751150665488,20.2873597400824,19.3323421805736,0,0.618941117607008,2.15444667519516
"peak832",14.8604837888202,5.7963884971664,43.8199756093001,2.18120229753184,1.85682335282102,2.87259556692688
"peak833",8.49170502218295,0,42.5311527972618,0,0,0
"peak841",12.7375575332744,8.69458274574959,67.0187862259883,3.27180344629775,0.618941117607008,1.43629778346344
"peak846",21.2292625554574,20.2873597400824,57.9970265417207,0,2.88839188216604,1.43629778346344
"peak850",10.6146312777287,5.7963884971664,38.6646843611471,2.18120229753184,6.18941117607008,5.02704224212204
"peak863",36.0897463442775,8.69458274574959,72.1740774741413,0,0,0
"peak866",46.7043776220062,28.981942485832,140.481686512168,0,0,0
"peak881",19.1063362999116,8.69458274574959,29.6429246768794,0,0.206313705869003,0
"peak897",23.3521888110031,14.490971242916,20.6211649926118,0,1.65050964695202,1.43629778346344
"peak911",55.1960826441892,23.1855539886656,184.301662121468,0,0,0.71814889173172
"peak915",161.342395421476,17.3891654914992,50.2640896694912,3.27180344629775,0.82525482347601,2.15444667519516
"peak932",25.4751150665488,11.5927769943328,15.4658737444588,1.09060114876592,0.206313705869003,1.43629778346344
"peak933",27.5980413220946,0,38.6646843611471,0,1.44419594108302,0
"peak936",27.5980413220946,8.69458274574959,104.394647775097,1.09060114876592,0.412627411738005,0
"peak940",21.2292625554574,2.8981942485832,43.8199756093001,0,0,0
"peak948",0,11.5927769943328,36.0870387370706,1.09060114876592,0,0
