"","X","Protein.Id","...2","Gene.Symbol","p_values","q_values","foldChange","LFC"
"661",661,"P32507","PVRL2_MOUSE","Pvrl2",0.00254135731292519,0.0289665042329364,-1.45942622743783,-0.545401285866179
"6597",6597,"Q8R2S8","CD177_MOUSE","Cd177",0.00172463608158041,0.0236550505239962,-1.79992259838381,-0.847934868038953
"5298",5298,"Q9EQ28","DPOD3_MOUSE","Pold3",0.00304454797385697,0.031253529578172,-1.24964214142571,-0.321515011121938
"1671",1671,"Q9Z0M9","I18BP_MOUSE","Il18bp",0.00550943163122489,0.0418774845672033,-4.01611388256904,-2.00580017951979
"2400",2400,"P84096","RHOG_MOUSE","Rhog",0.0123576695590667,0.0625626186548034,-1.28243334831525,-0.358883846842997
"7997",7997,"Q9QUK3","CLN8_MOUSE","Cln8",0.00926329696343938,0.0539213741217038,-2.16503400465066,-1.11438968451579
"8127",8127,"Q6ZWQ7","Q6ZWQ7_MOUSE","Spcs3",0.0120086960026217,0.0615210094647809,-1.72835666288471,-0.789400962107659
"2550",2550,"P14211","CALR_MOUSE","Calr",0.00645143581512294,0.045685021336251,-1.20152740231658,-0.264869551285456
"6206",6206,"P70343","CASP4_MOUSE","Casp4",0.00434410907464865,0.0372997720237544,-1.30021357683938,-0.378748623975867
"420",420,"Q8K2D3","EDC3_MOUSE","Edc3",0.018958226704086,0.0790184311195332,-1.17410925419971,-0.231566661564122
"4245",4245,"P24369","PPIB_MOUSE","Ppib",0.0233088185342352,0.0886034976667018,-1.28471326295196,-0.361446398113252
"3358",3358,"P97496","SMRC1_MOUSE","Smarcc1",0.0134723418989202,0.0654311094290272,-1.0525524194536,-0.0738920845055195
"6569",6569,"Q8CIF6","SIDT2_MOUSE","Sidt2",0.00804234299772897,0.0506854341952581,-1.19229355789605,-0.253739489473925
"7373",7373,"Q61286","HTF4_MOUSE","Tcf12",0.00443569622346884,0.0377163332235574,-1.44859817594443,-0.534657463792605
"7265",7265,"Q8VDD9","PHIP_MOUSE","Phip",0.010334305847653,0.0568317183441349,-1.27812854351772,-0.354032937826211
"7023",7023,"O08579","EMD_MOUSE","Emd",0.0232788960623527,0.0886034976667018,-1.2908799787892,-0.368354870470839
"2964",2964,"Q8CGN4","BCOR_MOUSE","Bcor",0.00103768797822698,0.0187436250673028,-1.1965689121116,-0.258903486135715
"935",935,"P17047","LAMP2_MOUSE","Lamp2",0.00198858235424204,0.0256379472242801,-1.70710619485859,-0.771552807651206
