"","Var1","Freq"
"163","Atg16l1",2
"164","Atg2a",2
"165","Atg4b",1
"166","Atl3",2
"167","Atoh1",1
"168","Atp10b",6
"169","Atp11b",3
"170","Atp12a",2
"171","Atp13a3",1
"172","Atp1a1",1
"173","Atp1b1",8
"174","Atp2a2",3
"175","Atp2a3",1
"176","Atp2b1",1
"177","Atp5b",1
"178","Atp5c1",1
"179","Atp5e",1
"180","Atp5g1",1
"181","Atp5g3",1
"182","Atp5j",2
"183","Atp5o",1
"184","Atp6ap2",1
"185","Atp6v0a2",3
"186","Atp6v0d1",2
"187","Atp6v0e",3
"188","Atp6v1a",1
"189","Atp6v1b2",2
"190","Atp6v1d",1
"191","Atp6v1e1",1
"192","Atp8a1",1
"193","Atp8a2",1
"194","Atp8b1",2
"195","Atp9a",1
"196","Atrnl1",5
"197","Atxn1",1
"198","Atxn1l",2
"199","Atxn2l",1
"200","Aven",1
"201","Avl9",1
"202","B2m",2
"203","B3galt5",12
"204","B3gnt2",1
"205","B3gnt3",5
"206","B3gnt7",5
"207","B4galnt2",1
"208","B4galt1",4
"209","B4galt6",1
"210","Bach1",2
"211","Bag6",1
"212","Baiap2l1",1
"213","Bak1",3
"214","Bax",1
"215","Baz2a",3
"216","Baz2b",2
"217","Bcar1",1
"218","Bcas3",2
"219","Bcl11a",1
"220","Bcl2l2",1
"221","Bcor",1
"222","Bicc1",1
"223","Bin3",1
"224","Birc6",1
"225","Blcap",4
"226","Blmh",2
"227","Blnk",1
"228","Bloc1s4",1
"229","Bmp3",1
"230","Bmpr1a",1
"231","Bptf",1
"232","Bsg",1
"233","Btaf1",2
"234","Btbd8 RP23-32E20.1",1
"235","Btbd9",2
"236","Btg1",3
"237","Btg2",16
"238","Btnl5-ps",1
"239","Bub1b",1
"240","C1galt1",3
"241","C1galt1c1",1
"242","C1qbp",1
"243","C2cd2l",1
"244","CAAA01224633.1",2
"245","Cab39",1
"246","Cacfd1",1
"247","Cachd1",1
"248","Cacul1",1
"249","Calm1",2
"250","Calm3",4
"251","Calr",1
"252","Camk2n1",1
"253","Camkmt",1
"254","Cant1",8
"255","Canx",2
"256","Cap1",1
"257","Capn15",1
"258","Capn5",8
"259","Capns1",4
"260","Capza2",2
"261","Capzb",2
