peak,target_gene,target_Ensembl_ID,target_Uniprot_ID,target_Entrez_ID,CLIP_LFC,CLIP_p,RNA_LFC,RNA_p,Protein_LFC,Protein_p,rank_value
peak17011,Eps8l3,ENSMUSG00000040600,Q91WL0,99662,3.17802727,0.001285538,1.115114318,1.60E-06,0.269954437,0.010069223,4.563096024
peak27569,Xiap,ENSMUSG00000025860,Q60989,11798,3.481317201,3.23E-06,0.779173597,7.49E-06,0.213112817,0.008396458,4.473603615
peak25799,Chmp1a,ENSMUSG00000000743,Q921W0,234852,3.655373323,0.012684994,0.641719911,2.18E-09,0.158174742,0.035429783,4.455267976
peak9406,Ywhaz,ENSMUSG00000022285,P63101,22631,3.798613076,0.009081358,0.504744199,6.49E-05,0.147254409,7.17E-04,4.450611685
peak14757,Dhrs9,ENSMUSG00000027068,Q58NB6,241452,2.060160862,0.022503663,2.026300298,8.05E-10,0.354391462,0.048141973,4.440852622
peak16858,Mcl1,ENSMUSG00000038612,P97287,17210,3.079629647,0.027048416,1.124991075,3.88E-05,0.224088955,0.002882615,4.428709677
peak20364,Ptpn12,ENSMUSG00000028771,P35831,19248,3.010720415,0.007484605,1.130019373,1.04E-09,0.266231618,0.001133429,4.406971406
peak23482,Plekha1,ENSMUSG00000040268,Q8BUL6,101476,3.080370881,0.016429367,0.878740475,0.009546607,0.435625374,5.00E-04,4.39473673
peak13230,Ahnak,ENSMUSG00000069833,E9Q616,66395,2.797714397,0.034434229,0.997899939,0.001964392,0.596341779,5.87E-06,4.391956116
peak6897,Mboat1,ENSMUSG00000038732,Q8BH98,218121,2.995838195,0.019965066,0.953728211,2.14E-08,0.40054107,0.010077749,4.350107476
peak21938,Gprc5a,ENSMUSG00000046733,Q8BHL4,232431,2.007448248,0.014675828,1.694857325,8.77E-12,0.636374764,9.79E-04,4.338680337
peak1017,Aim2,ENSMUSG00000037860,Q91VJ1,383619,3.705338543,0.01134428,0.452549513,0.006683576,0.17002007,0.012093821,4.327908126
peak9250,Dazap2,ENSMUSG00000000346,Q9DCP9,23994,3.61787241,1.02E-10,0.305188856,0.006163214,0.404267967,0.040360749,4.327329233
