"","x"
"572","Trib1"
"573","Myc"
"574","Phf20l1"
"575","Ly6e"
"576","Ly6g"
"577","Mpst"
"578","Nol12"
"579","H1f0"
"580","H1f0 Gcat"
"581","Tomm22"
"582","Mgat3"
"583","Tnrc6b"
"584","Rbx1"
"585","Ep300"
"586","Tef"
"587","Aco2"
"588","Rnu12"
"589","Bik"
"590","Ttc38"
"591","Pim3"
"592","Alg10b"
"593","Arid2"
"594","Dnajc22"
"595","Tmbim6"
"596","Cox14"
"597","Dazap2"
"598","Acvr1b"
"599","Eif4b"
"600","Prr13"
"601","Nipbl"
"602","Sub1"
"603","March6"
"604","Ywhaz"
"605","Zfp706"
"606","Derl1"
"607","Fbxo32"
"608","Gsdmc4"
"609","Asap1"
"610","Ndrg1"
"611","Trappc9"
"612","Ago2"
"613","RP23-230O9.4"
"614","Ly6a"
"615","Fam83h"
"616","Plec"
"617","Slc39a4"
"618","Vps28"
"619","Myh9"
"620","Cyp2d34"
"621","Cyb5r3"
"622","Arfgap3"
"623","Pacsin2"
"624","Brd1"
"625","Plxnb2"
"626","Sbf1"
"627","Twf1"
"628","Slc38a2"
"629","Adcy6"
"630","Arf3"
"631","Kmt2d"
"632","Lmbr1l"
"633","Lima1"
"634","Smagp"
"635","Galnt6"
"636","Fignl2"
"637","Krt8"
"638","Spryd3"
"639","Abat"
"640","Shisa9"
"641","Mapk1"
"642","Hic2"
"643","Eif4g1"
"644","Map3k13"
"645","Lpp"
"646","Fam43a"
"647","Muc4"
"648","Lrch3"
"649","Snx4"
"650","Zfp148"
"651","Muc13"
"652","Mylk"
"653","Ildr1"
"654","Lrrc58"
"655","Usf3"
"656","Zbtb11"
"657","Tomm70a"
"658","Cggbp1"
"659","Usp25"
"660","Cxadr"
"661","Gabpa"
"662","Bach1"
"663","Ifngr2"
"664","Son"
"665","Mrps6"
"666","Dopey2"
"667","Ttc3"
"668","B3galt5"
"669","Igsf5"
"670","Crebbp"
"671","Cdip1"
"672","Nagpa"
"673","Socs1"
"674","Litaf"
"675","Pla2g10"
"676","Fgd4"
"677","Slc25a1"
"678","Dgcr8"
"679","Sept5"
"680","Alg3"
"681","Acap2"
"682","Pak2"
"683","Umps"
"684","Kalrn"
"685","Parp14"
"686","Fam162a"
"687","Atp6v1a"
"688","Nrip1"
"689","Atp5j"
"690","App"
"691","Ltn1"
"692","Cct8"
"693","Scaf4"
"694","Synj1"
"695","Atp5o"
"696","Tmprss2"
"697","Agpat4"
"698","Airn"
"699","Mllt4"
"700","RP24-221F4.2"
"701","Ppp2r1a"
"702","Srrm2"
"703","Prss32"
"704","Abca3"
"705","Pkd1"
"706","Tmem8"
"707","Neurl1b"
"708","Atp6v0e"
"709","Crebrf"
"710","Phf1"
"711","Itpr3"
"712","Ppard"
"713","Rpl10a"
"714","Mapk14"
"715","Kctd20"
"716","Cdkn1a"
"717","Pim1"
"718","Zfand3"
"719","Abcg1"
"720","Slc37a1"
"721","Pde9a"
"722","Ndufv3"
"723","Tapbp"
"724","Tap1"
"725","H2-Eb1"
"726","Pbx2"
"727","Slc44a4"
"728","Neu1"
"729","Clic1"
"730","Gm22589 Ddx39b"
"731","H2-D1"
"732","H2-Q2"
"733","Trim31"
"734","RP23-81C12.1"
"735","RP23-81C12.3"
"736","Gtpbp2"
"737","Plcl2"
"738","Crb3"
"739","Ypel5"
"740","Birc6"
"741","Pkdcc"
"742","Slc3a1"
"743","Ttc7"
"744","Epcam"
"745","Ezr"
"746","Fndc1"
"747","Igf2r"
"748","Tnfrsf12a"
"749","Paqr4"
"750","Prss30"
"751","Ccnf"
"752","Capn15"
"753","Fam234a"
"754","Dusp1"
"755","Bak1"
"756","Fkbp5"
"757","Stk38"
"758","Btbd9"
"759","Tff3"
"760","Sik1"
"761","Gm25555 Zfp811"
"762","Cyp4f14"
"763","H2-K1"
"764","Btnl4"
"765","Btnl5-ps"
"766","Btnl6"
"767","Ddr1"
"768","RP24-180B11.5"
"769","H2-T23"
"770","Cd2ap"
"771","Nfya"
"772","Acer1"
"773","Khsrp"
"774","Myl12b"
"775","Xdh"
"776","Fez2"
"777","Strn"
"778","Map4k3"
"779","Zfp36l2"
"780","Mcfd2"
"781","Cul2"
"782","Mib1"
"783","Dsg2"
"784","Ttr"
"785","Rnf125"
"786","Mapre2"
"787","Pik3c3"
"788","Ammecr1l"
"789","n-R5s25"
"790","Kdm3b"
"791","Ctnna1"
"792","Matr3"
"793","Cystm1"
"794","Eif4ebp3 Ankhd1"
"795","Ik"
"796","Dcp2"
"797","Dmxl1"
"798","Gramd3"
"799","Lmnb1"
"800","Slc12a2"
"801","Rbm22"
"802","Csnk1a1"
"803","Pmaip1"
"804","Myo5b"
"805","Smad7"
"806","Atp5a1"
"807","Epg5"
"808","Zfp516"
"809","Arhgap12"
"810","Npc1"
"811","Aqp4"
"812","Dsc2"
"813","B4galt6"
"814","Rprd1a"
"815","Myo7b"
"816","Stard4"
"817","Etf1"
"818","Hbegf"
"819","Taf7"
"820","Nr3c1"
"821","Yipf5"
"822","Trim36"
"823","Fem1c"
"824","Sema6a"
"825","Ndst1"
"826","Slc26a2"
"827","Ppargc1b"
"828","Adrb2"
"829","Txnl1"
"830","Atp8b1"
"831","Afg3l2"
"832","Rab27b"
"833","n-R5-8s1"
"834","Me2"
"835","Lipg"
"836","Cdk2ap2"
"837","Tmem134"
"838","Ppp1ca"
"839","Pcx"
"840","RP23-140G16.1"
"841","Syvn1"
"842","Atg2a"
"843","Ppp1r14b"
"844","Gm23997"
"845","Atl3"
"846","Hnrnpul2"
"847","Ahnak"
"848","Fth1"
"849","Fads3"
"850","Ddb1"
"851","Patl1"
"852","Gna14"
"853","Rfk"
"854","Zfand5"
"855","Abhd17b"
"856","Tmem2"
"857","Vldlr"
"858","Ric1"
"859","A1cf"
"860","Papss2"
"861","Pten"
"862","Stambpl1"
"863","Tnks2"
"864","Btaf1"
"865","Plce1"
"866","Cyp2c55"
"867","Cyp2c65"
"868","AC132303.1"
"869","Entpd7"
"870","Scd2"
"871","Hif1an"
"872","Sema4g"
"873","Trim8"
"874","Wbp1l"
"875","Slk"
"876","Dusp5"
"877","Pdcd4"
"878","Shoc2"
"879","Adra2a"
"880","Ppnr Tcf7l2"
"881","Tcf7l2"
"882","Casp7"
"883","Atrnl1"
"884","Pnliprp2"
"885","Ndufs8 Tcirg1"
"886","Gstp1"
"887","RP23-41B18.5"
"888","Kdm2a"
"889","Pcnxl3"
"890","Malat1"
"891","Neat1"
"892","Capn1"
"893","Esrra"
"894","Rtn3"
"895","Slc3a2"
"896","Ms4a8a"
"897","Stx3"
"898","Zfp91"
"899","Vps13a"
"900","Ostf1"
"901","Anxa1"
"902","Gda"
"903","RP23-341M13.1"
"904","Tjp2"
"905","Ak3"
"906","Ranbp6"
"907","Ifit1bl1"
"908","Ide"
"909","Pdlim1"
"910","Blnk"
"911","Tm9sf3"
"912","Dnmbp"
"913","Actr1a"
"914","Zdhhc6"
"915","Fam204a"
"916","Cacul1"
"917","Usp6nl"
"918","Itih5"
"919","Tmem236"
"920","Arl5b"
"921","Plxdc2"
"922","Pdss1"
"923","Psd4"
"924","Entpd8"
"925","Man1b1"
"926","Cacfd1"
"927","Tbc1d13"
"928","Lrrc8a"
"929","Lrrc8a RP23-395P6.10"
"930","Dolpp1"
"931","Ppp2r4"
"932","Tor1b"
"933","Prrc2b"
"934","Golga2"
"935","Fam102a"
"936","St6galnac6"
"937","Hspa5"
"938","Gsn"
"939","Dab2ip"
"940","Nek6"
"941","Arhgap15"
"942","March7"
"943","Cers6"
"944","Dhrs9"
"945","Itga6"
"946","Pdk1"
"947","Dnajc10"
"948","Kbtbd4"
"949","Celf1"
"950","Arhgap1"
"951","Lin7c"
"952","Lgr4"
"953","Slc12a6"
"954","Aven"
"955","RP23-297K24.1"
"956","Spred1"
"957","Phgr1"
"958","Spint1"
"959","Chp1"
"960","RP23-22A15.2"
"961","Ckmt1"
"962","Pdia3"
"963","B2m"
"964","Duoxa2"
"965","Sema6d"
"966","Tmem127"
"967","Stard7"
"968","Tmem87b"
"969","Slc20a1"
"970","Tgm3"
"971","Nop56"
"972","Vps16"
"973","Dstn"
"974","Entpd6"
"975","Sdcbp2"
"976","Srxn1"
"977","H13"
"978","Itch"
"979","Trp53inp2"
"980","Acss2"
"981","Src"
"982","Ralgapb"
"983","Sgk2"
"984","Hnf4a"
"985","Ywhab"
"986","Ctsa"
"987","Ncoa3"
"988","Slc9a8"
"989","Pard6b"
"990","Pck1"
"991","Gnas"
"992","Osbpl2"
"993","Rps21"
"994","Dnajc5"
"995","Cdc123"
"996","Arhgap21"
"997","Ehmt1"
"998","Tubb4b"
"999","Surf4"
"1000","Zdhhc12"
"1001","Ccbl1"
"1002","Strbp"
"1003","Ppp6c"
"1004","Rnd3"
"1005","Stam2"
"1006","Baz2b"
"1007","Ly75"
"1008","Itgb6"
"1009","Rbms1"
"1010","Ifih1"
"1011","Galnt3"
"1012","Fastkd1"
"1013","Atp5g3"
"1014","Nfe2l2"
"1015","Nckap1"
"1016","Ctnnd1"
"1017","Ctnnd1 RP23-387F9.7"
"1018","Zdhhc5"
"1019","Ptprj"
"1020","Madd"
"1021","Cry2"
"1022","Slc35c1"
"1023","Cd82"
"1024","Alkbh3"
"1025","Hsd17b12"
"1026","Ttc17"
"1027","Ehf"
"1028","Ino80"
"1029","Zfp106"
"1030","Duox2"
"1031","Slc30a4"
"1032","Secisbp2l"
"1033","Sppl2a"
"1034","Mall"
"1035","Gpcpd1"
"1036","Flrt3"
"1037","Crnkl1"
"1038","Ralgapa2"
"1039","Plagl2"
"1040","Nol4l"
"1041","Eif6"
"1042","Blcap"
"1043","Serinc3"
"1044","Slpi"
"1045","Sdc4"
"1046","Znfx1"
"1047","B4galt5"
"1048","Spata2"
"1049","Atp9a"
"1050","Zfp217"
"1051","Zbp1"
"1052","Atp5e"
"1053","Helz2"
"1054","Gmeb2"
"1055","Zc2hc1a"
"1056","Chmp4c"
"1057","Car2"
"1058","Mtfr1"
"1059","Skil"
"1060","Mfn1"
"1061","Atp11b"
"1062","RP23-243E17.1"
"1063","Gm23511"
"1064","Noct"
"1065","RP23-346I1.1 Mgst2"
"1066","Mgst2"
"1067","Proser1"
"1068","Supt20"
"1069","Spg20"
"1070","Tsc22d2"
"1071","Mbnl1"
"1072","Rap2b"
"1073","Gfm1"
"1074","Mef2d"
"1075","Glmp"
"1076","Tpm3"
"1077","Crtc2"
"1078","S100a14"
"1079","S100a16"
"1080","Sprr2a1"
"1081","Sprr2a2"
"1082","Sprr2a3"
"1083","Sprr2b"
"1084","Selenbp1"
"1085","Pi4kb"
"1086","Ctss"
"1087","Mcl1"
"1088","Otud7b"
"1089","Txnip"
"1090","Hmgcs2"
"1091","Nras"
"1092","Slc16a1"
"1093","Rhoc"
"1094","Eps8l3"
"1095","Sort1"
"1096","Fabp2"
"1097","Adh1"
"1098","Ddah1"
"1099","Tpd52"
"1100","Slc10a5"
"1101","Car1"
"1102","Armc1"
"1103","Gyg"
"1104","Fndc3b"
"1105","Mecom"
"1106","Phc3"
"1107","Ccna2"
"1108","Cog6"
"1109","Nhlrc3"
"1110","Slc33a1"
"1111","Ssr3"
"1112","Sptssb"
"1113","Pdcd10"
"1114","Trim2"
"1115","Fhdc1"
"1116","Fam160a1"
"1117","Sema4a"
"1118","Lmna"
"1119","Efna1"
"1120","Zbtb7b"
"1121","S100a1"
"1122","Sprr1a"
"1123","Snx27"
"1124","Rprd2"
"1125","Hsd3b3"
"1126","Hao2"
"1127","Ptgfrn"
"1128","Atp1a1"
"1129","Magi3"
"1130","Mov10"
"1131","Cept1"
"1132","Gnai3"
"1133","Fam102b"
"1134","Mfsd14a"
"1135","Abcd3"
"1136","Ostc"
"1137","Tet2"
"1138","Sh3glb1"
"1139","Clca4a"
"1140","Clca1"
"1141","Sdcbp"
"1142","Trp53inp1"
"1143","Cdh17"
"1144","Ggh"
"1145","Ccnc"
"1146","Bach2"
"1147","Ube2r2"
"1148","Rgp1"
"1149","Dcaf10"
"1150","Aldh1b1"
"1151","Tdrd7"
"1152","Sec61b"
"1153","Stx17"
"1154","Gm26400"
"1155","Ugcg"
"1156","Lurap1l"
"1157","Dennd4c"
"1158","Mier1"
"1159","RP23-398D18.4"
"1160","Plpp3"
"1161","Usp24"
"1162","Dhcr24"
"1163","Ttc22"
"1164","Ssbp3"
"1165","Zcchc11"
"1166","Nrd1"
"1167","Ttc39a"
"1168","Hectd3"
"1169","Elovl1"
"1170","RP24-16C11.2"
"1171","Guca2a"
"1172","Scmh1"
"1173","Nt5c1a"
"1174","Stk40"
"1175","RP23-273D6.2"
"1176","Smim12"
"1177","Ak2"
"1178","Tmem54"
"1179","Marcksl1"
"1180","Ptp4a2"
"1181","Ifnlr1"
"1182","Il22ra1"
"1183","Hmgcl"
"1184","Gale"
"1185","Id3"
"1186","Tcea3"
"1187","Hp1bp3"
"1188","Capzb"
"1189","Ubr4"
"1190","Epha2"
"1191","Srm"
"1192","Casz1"
"1193","Rere"
"1194","Errfi1"
"1195","Rps20"
"1196","Impad1"
"1197","Asph"
"1198","Plekhf2"
"1199","Esrp1"
"1200","Cpne3"
"1201","Slc35a1"
"1202","Topors"
"1203","Smu1"
"1204","Dcaf12"
"1205","Sigmar1"
"1206","Fam214b"
"1207","Gne"
"1208","Rnf38"
"1209","Slc25a51"
"1210","Coro2a"
"1211","Acnat1"
"1212","Gm22042"
"1213","Klf4"
"1214","Ikbkap"
"1215","Epb41l4b"
"1216","Ptpn3"
"1217","Txn1"
"1218","Lpar1"
"1219","RP23-211P15.1"
"1220","Ptbp3"
"1221","Zdhhc21"
"1222","Ttc39b"
"1223","Klhl9"
"1224","Lrrc19"
"1225","Mysm1"
"1226","Jun"
"1227","Cyp2j6"
"1228","Slc35d1"
"1229","Lrrc42"
"1230","Dio1"
"1231","Cpt2"
"1232","Uqcrh"
"1233","Tspan1"
"1234","Mast2"
"1235","Akr1a1"
"1236","Dmap1"
"1237","Szt2"
"1238","Cap1"
"1239","Macf1"
"1240","Gjb3"
"1241","RP23-284L6.7"
"1242","Tinagl1"
"1243","Serinc2"
"1244","Snhg3 Rcc1"
"1245","Sesn2"
"1246","Xkr8"
"1247","Sytl1"
"1248","Sfn"
"1249","Zdhhc18"
"1250","Rps6ka1"
"1251","Sh3bgrl3"
"1252","Rcan3"
"1253","Pla2g5"
"1254","Ddi2"
"1255","Efhd2"
"1256","Vps13d"
"1257","Tnfrsf1b"
"1258","Mfn2"
"1259","Pgd"
"1260","Vamp3"
"1261","Espn"
"1262","Tprgl"
"1263","Arhgef16"
"1264","Rer1"
"1265","Akap9"
"1266","Steap4"
"1267","Sri"
"1268","Abcb1a"
"1269","Fgl2"
"1270","Slc4a2"
"1271","Insig1"
"1272","Hadhb"
"1273","Tmem214"
"1274","Nrbp1"
"1275","Fosl2"
"1276","Ppp1cb"
"1277","Htt"
"1278","Acox3"
"1279","Tmem128"
"1280","Cd38"
"1281","Anapc4"
"1282","Klf3"
"1283","Parm1"
"1284","Shroom3"
"1285","Ccng2"
"1286","Bmp3"
"1287","Cds1"
"1288","Aff1"
"1289","Btbd8 RP23-32E20.1"
"1290","Pcgf3"
"1291","Ankrd13a"
"1292","Oasl2"
"1293","Oasl1"
"1294","Srsf9"
"1295","Rplp0 Gcn1l1"
"1296","Rab35"
"1297","Taok3"
"1298","Slc8b1"
"1299","Ddx54"
"1300","Fam109a"
"1301","Pptc7"
"1302","P2rx4"
"1303","Mlxip"
"1304","Setd8"
"1305","Atp6v0a2"
"1306","Cldn3"
"1307","Gigyf1"
"1308","Lrch4"
"1309","Tsc22d4"
"1310","Kdelr2"
"1311","Cyth3"
"1312","Trrap"
"1313","Arpc1a"
"1314","Arpc1b"
"1315","Cyp51"
"1316","Cldn12"
"1317","Dmtf1"
"1318","Ptpn12"
"1319","RP23-110C17.2"
"1320","Hadha"
"1321","Nelfa"
"1322","Sh3tc1"
"1323","Tada2b"
"1324","AC167815.1"
"1325","Wdr1"
"1326","Prom1"
"1327","Sel1l3"
"1328","Ugdh"
"1329","Pds5a"
"1330","Rbm47"
"1331","Fryl"
"1332","Clock"
"1333","Ugt2b34"
"1334","Sult1b1"
"1335","Sult1d1"
"1336","Rchy1"
"1337","G3bp2"
