"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"peak14688",276.400342448273,3.2101917144682,0.423372773079263,7.58242361954437,3.39158757625832e-14,4.5529995170063e-12
"peak14691",50.1244598720289,-1.52250599547593,0.500727081087535,-3.04059047928701,0.00236114736884207,0.0084430838483836
"peak14697",11.4312714431258,-2.33434273942767,0.864254804730217,-2.70098902158415,0.00691336204816277,0.0188933191226851
"peak14701",3.42670062098775,4.20965816395652,1.39720985188354,3.0129032931464,0.00258761362015946,0.00905929949935019
"peak14705",5.90366100358951,2.47153323084866,1.05954260032256,2.33264167962311,0.0196669594736025,0.0416494593854206
"peak14709",5.06924748199449,2.97221381028271,1.21836650391991,2.43950716038241,0.0147073112005288,0.033609328318967
"peak14713",7.74138163650892,4.37408093430163,1.29516376821504,3.37724158260687,0.000732167141977181,0.00361421340757166
"peak14728",26.0100981509809,-1.1037483724692,0.523770188971214,-2.10731423000072,0.0350903506881253,0.0658272972690667
"peak14733",10.5163188150322,1.60707339053928,0.757853940233913,2.12055820418808,0.0339589985455925,0.0639665735780085
"peak14734",17.7901230396293,-0.621858861811631,0.657474250704761,-0.945829986718182,0.344235308229041,0.41889700121438
"peak14751",9.06013863317692,1.26385251269432,0.783907483877337,1.61224703002335,0.106908194898911,0.159940936320632
"peak14756",27.5027769144852,0.20598762983279,0.621342090031775,0.331520483059913,0.740251371686062,0.787160654899553
"peak14760",9.26337670279629,1.73317150143275,0.798023697984074,2.171829615851,0.0298685169455098,0.057804612260227
"peak14767",15.45509396922,-0.813959570795482,0.584301709829568,-1.39304670361636,0.163605668125096,0.226822568604667
"peak14769",8.51589871275503,0.936037199226238,0.865411236005583,1.08160971372019,0.279425986431898,0.351824408101435
"peak14773",5.3430759799104,0.989603427527116,0.960291908974049,1.03052355047371,0.302764302837777,0.376761185353634
"peak14777",4.6177105538965,1.80775890533007,1.13281962271032,1.59580472397268,0.110532398284529,0.164335580809845
"peak14790",6.37257425444091,2.56611033780232,1.05724672003471,2.42716320530942,0.0152174085500597,0.0343828475613827
"peak14804",9.57956152781368,2.01209578941807,0.792447439262809,2.53909053108918,0.0111141059631965,0.0273945540624423
"peak14812",4.16911241915501,3.34058092690444,1.38516353562737,2.41168702538176,0.015878905571873,0.0354586753895905
"peak14816",8.17773582089841,4.41772324758037,1.29512564029794,3.41103836579444,0.000647159847251776,0.0032981183326609
"peak14819",9.04950417883505,0.63965124348689,0.74726229224342,0.855992935983078,0.392001686788088,0.466907008024591
"peak14821",3.85819303255068,2.45755770432528,1.25102719391651,1.96443188147779,0.0494800286327648,0.0860467859699013
"peak14827",12.3817855235387,-0.0525488026553884,0.628445785518257,-0.0836170818013415,0.933360885186174,0.949578246222681
"peak14835",11.7504834810044,2.93370584397773,0.976602313715314,3.00399231373614,0.00266462056631158,0.00920079773963548
"peak14842",4.69022546208212,2.17363178320888,1.28554999796376,1.69081854976609,0.0908714632304158,0.140139124017991
"peak14844",10.9066997291293,1.42161040448504,0.911860212037332,1.55902229938161,0.118991102359596,0.17453897182081
"peak14845",3.3664517959983,4.1402017414725,1.42094028846048,2.91370564625078,0.00357166505475011,0.0111759206716001
"peak14846",87.8289918714211,-0.0268353472684873,0.571831940161595,-0.0469287309500479,0.962570029327721,0.972642820161516
"peak14856",11.1017317516064,1.92891733465013,0.786598930938325,2.45222470916551,0.0141975969633411,0.0327371485907957
"peak14857",9.92682881347462,1.69737113856833,0.769174973086083,2.20674254618314,0.0273320510073771,0.0539969880633897
"peak14861",77.4433000133774,2.59260677334014,0.56150650652981,4.61723371535412,3.88889210678864e-06,5.14530340282804e-05
"peak14862",13.4208531304354,2.91634764905856,0.866458542392772,3.36582479873176,0.000763151631579122,0.00371715626567388
"peak14875",6.84099960548224,1.40043565848066,0.939902106836703,1.48998033762676,0.136229405971857,0.194942223699246
"peak14876",37.6641071502235,1.32500021973967,0.50978561792612,2.59913220998655,0.00934597698943332,0.0238204044650833
"peak14878",240.696037544902,-1.07340704342363,0.463913142920239,-2.31381037550854,0.0206781259886391,0.0432746788750836
"peak14880",4.01769398096583,2.3955254975131,1.32230293931932,1.81163137907433,0.0700431730338537,0.112988752748632
"peak14883",5.74789548418375,1.51739316161222,0.98201981450851,1.5451757074491,0.122303768605875,0.178430219653043
"peak14897",217.943500767406,-2.51530016196305,0.688003943317533,-3.65593858348305,0.000256242702921062,0.00159182825832678
"peak14899",3.54324919215685,4.29042805947921,1.38674646828925,3.09388064623815,0.00197556945149711,0.00742727750071043
"peak14900",5.64797791918867,4.98806875277137,1.36068938024324,3.66583940846197,0.000246528601878911,0.00154719888796069
"peak14902",3.18285838668773,4.12238762265714,1.3999553622322,2.94465647539225,0.00323313414727875,0.0104862524140379
"peak14913",11.2068281041605,2.93729876242903,0.877967088338039,3.34556818979312,0.000821141654164917,0.00392664089011617
"peak14914",2.93863316971146,0.167147666328544,1.075471665934,0.155418010183824,0.876491786606499,0.904256943483068
"peak14922",3.05616869721275,2.00649890623927,1.30239592510165,1.54062130229919,0.123408980274291,0.179836650100529
"peak14941",91.2794243804759,-5.52253485765571,0.816150055927675,-6.76656800737278,1.31873067362313e-11,8.06477069735746e-10
"peak14943",5.71199240722591,0.246857940115618,0.876418902473766,0.281666608763047,0.778199160557313,0.819282360311295
"peak14946",84.6755342342274,-1.17481563372967,0.466472511242233,-2.51850989161418,0.0117852573201738,0.0284250903988768
"peak14947",7.85010721310327,0.845650984584964,0.767951013891304,1.10117829039634,0.270819068316662,0.342821562100945
"peak14957",10.2193364744357,3.97842310806598,1.16932019840329,3.40233848136597,0.000668118343355057,0.00336443125510177
"peak14961",12.7243899294095,-0.146842669580652,0.719544366650757,-0.204077297226517,0.838293095181445,0.872040294061363
"peak14965",7.33389208453216,0.373464346840592,0.778569382802412,0.479680237997967,0.631454782064819,0.692612020821993
"peak14971",7.98471163148129,1.00714978475635,0.7573580238503,1.32981991744954,0.183577611902499,0.249607503930671
"peak14974",90.7203735657993,-1.76752262193799,0.466205969189634,-3.79129127198933,0.000149866069494855,0.00105078069617794
"peak14975",5.22687543104384,2.73100545094522,1.26134670095371,2.16515050848454,0.0303761610316052,0.0585810757946584
"peak14985",10.6260503023843,0.511185633314214,0.685783243321765,0.745404088379525,0.456027473077451,0.528638418664341
"peak14988",10.6873099781623,-0.354161559043922,0.651708448561772,-0.543435580473916,0.586829933520321,0.651717504861955
"peak14990",31.4195579533055,0.859628990403772,0.54563521206892,1.57546465365434,0.115149231015416,0.170096985375429
"peak14997",14.5806105466759,1.23791012462111,0.617329717596416,2.00526572645965,0.0449346468078702,0.0798580226123724
"peak14999",6.16863316979515,1.3024843319469,0.935583775237329,1.39216216272723,0.163873297706469,0.227118401469752
"peak15000",7.14042963890325,2.65251448293935,1.04671528483068,2.534131794367,0.0112726325649839,0.0276861087182825
"peak15001",4.30200489478007,2.68629656769758,1.23136193467481,2.18156538061817,0.0291416242381708,0.0566968892919379
"peak15002",14.9142291765312,1.27985821514668,0.663538287912393,1.92883852893152,0.0537509110392193,0.0914513181947027
"peak15007",4.39070586235497,1.3395129308797,1.0105077809804,1.32558398469737,0.184977533921696,0.250891164786845
"peak15008",49.1360306625653,-0.810935562240632,0.471905839523949,-1.71842663158966,0.0857188261993113,0.133653376600852
"peak15010",5.18154120247037,0.770792761152946,0.862230686392045,0.893951900944612,0.371347626743218,0.446948903913114
"peak15012",61.4628382945621,-0.956561573577561,0.634229176491983,-1.50822700852151,0.131496437045307,0.189365878989369
"peak15016",11.1820774754955,-0.507682356405885,0.646536000086859,-0.785234474704704,0.432316106003237,0.505946810002513
